REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Matias Cardoso,10999,3 - 10001 até 20000,Municipal,"99,0","5,1"
3 - Sudeste,31,MG,Matias Cardoso,10999,3 - 10001 até 20000,Pública,"98,9","5,2"
3 - Sudeste,31,MG,Matipó,18914,3 - 10001 até 20000,Estadual,"99,0","5,7"
3 - Sudeste,31,MG,Matipó,18914,3 - 10001 até 20000,Municipal,"92,6","4,5"
3 - Sudeste,31,MG,Matipó,18914,3 - 10001 até 20000,Pública,"96,2","5,3"
3 - Sudeste,31,MG,Mato Verde,12849,3 - 10001 até 20000,Estadual,"98,6","6,4"
3 - Sudeste,31,MG,Mato Verde,12849,3 - 10001 até 20000,Municipal,-,-
3 - Sudeste,31,MG,Mato Verde,12849,3 - 10001 até 20000,Pública,"99,4","6,5"
3 - Sudeste,31,MG,Matozinhos,37344,4 - 20001 até 50000,Estadual,"99,9","7,0"
3 - Sudeste,31,MG,Matozinhos,37344,4 - 20001 até 50000,Municipal,"99,3","6,4"
3 - Sudeste,31,MG,Matozinhos,37344,4 - 20001 até 50000,Pública,"99,5","6,7"
3 - Sudeste,31,MG,Matutina,3846,1 - Até 5000,Municipal,"99,1","6,2"
3 - Sudeste,31,MG,Matutina,3846,1 - Até 5000,Pública,"99,1","6,2"
3 - Sudeste,31,MG,Medeiros,3765,1 - Até 5000,Municipal,"98,4","6,7"
3 - Sudeste,31,MG,Medeiros,3765,1 - Até 5000,Pública,"98,4","6,7"
3 - Sudeste,31,MG,Medina,21409,4 - 20001 até 50000,Estadual,"97,0","5,4"
3 - Sudeste,31,MG,Medina,21409,4 - 20001 até 50000,Municipal,"99,6","5,8"
3 - Sudeste,31,MG,Medina,21409,4 - 20001 até 50000,Pública,"98,5","5,5"
3 - Sudeste,31,MG,Mendes Pimentel,6564,2 - 5001 até 10000,Municipal,"100,0","5,7"
